City,2010 Census Population
Powder Springs,60347
Preston,1838
Pulaski,33
Quitman,8709
Rabun Gap,1877
Ranger,3466
Ray City,5147
Rayle,1191
Rebecca,1107
Register,1567
Reidsville,9703
Rentz,2496
Resaca,6153
Rex,14709
Reynolds,3064
Rhine,1275
Riceboro,1762
Richland,2312
Richmond Hill,20495
Rincon,19269
Ringgold,41029
Rising Fawn,3799
Riverdale,57733
Roberta,3566
Rochelle,2398
Rock Spring,5571
Rockledge,538
Rockmart,18411
Rocky Face,8600
Rocky Ford,597
Rome,75049
Roopville,2994
Rossville,29290
Roswell,95251
Royston,8537
Rupert,251
Rutledge,3032
Rydal,3491
Saint Marys,20373
Saint Simons Island,14447
Sale City,781
Sandersville,10408
Sapelo Island,195
Sardis,2119
Sargent,19
Sautee Nacoochee,3682
Savannah,236823
Scotland,362
Scottdale,2960
Screven,2842
Sea Island,298
Senoia,13866
Seville,129
Shady Dale,1043
Sharon,38
Sharpsburg,20270
Shiloh,2350
Siloam,80
Silver Creek,6221
Smithville,1488
Smyrna,75810
Snellville,74574
Social Circle,9270
Soperton,6424
Sparks,3535
Sparta,9656
Springfield,9034
Stapleton,1800
Statenville,1040
Statesboro,54956
Statham,8659
Stephens,1035
Stillmore,78
Stockbridge,66140
Stockton,1056
Stone Mountain,112402
Suches,1260
Sugar Valley,1223
Summerville,16859
Sumner,1236
Sunny Side,55
Surrency,1324
Suwanee,64614
Swainsboro,13500
Sycamore,2078
Sylvania,12600
Sylvester,12354
Talbotton,2134
Talking Rock,6074
Tallapoosa,7050
Tallulah Falls,163
Talmo,1375
Tarrytown,517
Tate,1049
Taylorsville,3468
Temple,16807
Tennga,91
Tennille,4838
The Rock,707
Thomaston,23490
Thomasville,34286
Thomson,17201
Tifton,36196
Tiger,2521
Tignall,1924
Toccoa,22230
Toomsboro,1038
Townsend,7856
Trenton,9800
Trion,6697
Tucker,35921
Tunnel Hill,9590
Turin,82
Twin City,4702
Ty Ty,2010
Tybee Island,3306
Tyrone,8286
Unadilla,5189
Union City,21010
Union Point,3313
Upatoi,1370
Uvalda,2972
Valdosta,94325
Varnell,74
Vidalia,16646
Vienna,7420
Villa Rica,34274
Waco,2666
Wadley,3070
Waleska,5282
Warm Springs,2191
Warner Robins,81138
Warrenton,4368
Warthen,1114
Warwick,1112
Washington,7897
Watkinsville,17065
Waverly,1841
Waverly Hall,3095
Waycross,36692
Waynesboro,13966
Waynesville,3471
West Green,782
West Point,6900
Weston,217
White,6847
White Oak,1273
White Plains,1294
